Ref,Val,Package,PosX,PosY,Rot,Side
"C27","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",83.312000,72.136000,-90.000000,top
"C28","10uF 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",81.534000,72.136000,-90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.981400,71.676900,-90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.081400,71.676900,-90.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.181400,71.676900,-90.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.281400,71.676900,-90.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.481400,16.276900,0.000000,top
"H5","MountingHole_Pad","PC104_Pad_Hole_3P18_6P35",5.092700,5.054600,0.000000,top
"H6","MountingHole_Pad","PC104_Pad_Hole_3P18_6P35",85.293200,4.660900,0.000000,top
"H7","MountingHole_Pad","PC104_Pad_Hole_3P18_6P35",82.550000,90.810000,0.000000,top
"H8","MountingHole_Pad","PC104_Pad_Hole_3P18_6P35",8.763000,90.881200,0.000000,top
"H9","Wire_Restraint_Hole","Wire_Restraint_Hole",84.861400,36.876900,90.000000,top
"H10","Wire_Restraint_Hole","Wire_Restraint_Hole",81.559400,43.776900,90.000000,top
"H11","Wire_Restraint_Hole","Wire_Restraint_Hole",81.559400,48.094900,90.000000,top
"H12","Wire_Restraint_Hole","Wire_Restraint_Hole",81.559400,52.412900,90.000000,top
"H13","Wire_Restraint_Hole","Wire_Restraint_Hole",85.115400,61.556900,90.000000,top
"H14","Wire_Restraint_Hole","Wire_Restraint_Hole",8.000000,41.276900,90.000000,top
"H15","Wire_Restraint_Hole","Wire_Restraint_Hole",8.000000,44.276900,90.000000,top
"H16","Wire_Restraint_Hole","Wire_Restraint_Hole",8.000000,47.576900,90.000000,top
"H17","Wire_Restraint_Hole","Wire_Restraint_Hole",8.000000,50.751900,90.000000,top
"H18","Wire_Restraint_Hole","Wire_Restraint_Hole",8.000000,54.101900,90.000000,top
"J3","ESQ-126-39-G-D","ESQ-126-39-G-D",45.720000,83.190000,0.000000,top
"J4","ESQ-126-39-G-D","ESQ-126-39-G-D",45.720000,88.270000,0.000000,top
"J6","Conn_02x07_Odd_Even","IDC-Header_2x07_P2.54mm_Vertical",4.860900,80.352900,0.000000,top
"J7","B2B-ZR","B2B-ZR(LF)(SN)",4.470400,41.075400,180.000000,top
"J8","B2B-ZR","B2B-ZR(LF)(SN)",4.470400,44.377400,180.000000,top
"J9","B2B-ZR","B2B-ZR(LF)(SN)",4.470400,47.679400,180.000000,top
"J10","B2B-ZR","B2B-ZR(LF)(SN)",4.470400,50.981400,180.000000,top
"J11","B2B-ZR","B2B-ZR(LF)(SN)",4.470400,54.283400,180.000000,top
"J12","B2B-ZR","B2B-ZR(LF)(SN)",87.083900,55.807400,0.000000,top
"J13","B2B-ZR","B2B-ZR(LF)(SN)",87.083900,51.997400,0.000000,top
"J14","B2B-ZR","B2B-ZR(LF)(SN)",87.083900,48.158400,0.000000,top
"J15","B2B-ZR","B2B-ZR(LF)(SN)",87.083900,44.377400,0.000000,top
"J16","B2B-ZR","B2B-ZR(LF)(SN)",87.083900,40.630900,0.000000,top
"JP1","Jumper_3_Bridged12","PinHeader_1x03_P1.27mm_Vertical",2.481400,89.776900,0.000000,top
"R41","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",17.881400,18.076900,180.000000,top
"SW1","SW_Push","SW_SPST_PTS810",15.481400,75.876900,180.000000,top
"U5","MAX31725MTA+T","DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm",81.788000,75.692000,0.000000,top
